adult,title,genres,homepage,runtime,overview,poster_path,release_date,original_language
False,Ariel,"['Drama', 'Comedy', 'Romance', 'Crime']",,73,"After the coal mine he works at closes and his father commits suicide, a Finnish man leaves for the city to make a living but there, he is framed and imprisoned for various crimes.",https://image.tmdb.org/t/p/original/ojDg0PGvs6R9xYFodRct2kdI6wC.jpg,21/10/1988,fi
False,Shadows in Paradise,"['Drama', 'Comedy', 'Romance']",,74,"Nikander, a rubbish collector and would-be entrepreneur finds his plans for success dashed when his business associate dies. One evening, he meets Ilona, a down-on-her luck cashier in a local supermarket—and, falteringly, a bond begins to develop between them.",https://image.tmdb.org/t/p/original/nj01hspawPof0mJmlgfjuLyJuRN.jpg,17/10/1986,fi
False,Four Rooms,['Comedy'],https://www.miramax.com/movie/four-rooms/,98,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,https://image.tmdb.org/t/p/original/75aHn1NOYXh4M7L5shoeQ6NGykP.jpg,09/12/1995,en
False,Judgment Night,"['Action', 'Crime', 'Thriller']",,109,"While racing to a boxing match, Frank, Mike, John and Rey get more than they bargained for. A wrong turn lands them directly in the path of Fallon, a vicious, wise-cracking drug lord. After accidentally witnessing Fallon murder a disloyal henchman, the four become his unwilling prey in a savage game of cat and mouse as they are mercilessly stalked through the urban jungle in this taut suspense drama.",https://image.tmdb.org/t/p/original/3rvvpS9YPM5HB2f4HYiNiJVtdam.jpg,15/10/1993,en
False,Life in Loops (A Megacities RMX),['Documentary'],http://lifeinloops.com,80,"Timo Novotny labels his new project an experimental music documentary film, in a remix of the celebrated film Megacities (1997), a visually refined essay on the hidden faces of several world ""megacities"" by leading Austrian documentarist Michael Glawogger. Novotny complements 30 % of material taken straight from the film (and re-edited) with 70 % as yet unseen footage in which he blends original shots unused by Glawogger with his own sequences (shot by Megacities cameraman Wolfgang Thaler) from Tokyo. Alongside the Japanese metropolis, Life in Loops takes us right into the atmosphere of Mexico City, New York, Moscow and Bombay. This electrifying combination of fascinating film images and an equally compelling soundtrack from Sofa Surfers sets us off on a stunning audiovisual adventure across the continents. The film also makes an original contribution to the discussion on new trends in documentary filmmaking. Written by KARLOVY VARY IFF 2006",https://image.tmdb.org/t/p/original/x7Sz339F2oC8mBf0DHCQpKizXaL.jpg,01/01/2006,en
False,Sunday in August,['Drama'],,15,,,02/09/2004,de
False,Star Wars,"['Adventure', 'Action', 'Science Fiction']",http://www.starwars.com/films/star-wars-episode-iv-a-new-hope,121,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,https://image.tmdb.org/t/p/original/6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg,25/05/1977,en
False,Finding Nemo,"['Animation', 'Family']",http://movies.disney.com/finding-nemo,100,"Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist's office aquarium. It's up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.",https://image.tmdb.org/t/p/original/ggQ6o8X5984OCh3kZi2UIJQJY5y.jpg,30/05/2003,en
False,Forrest Gump,"['Comedy', 'Drama', 'Romance']",https://www.paramountmovies.com/movies/forrest-gump,142,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",https://image.tmdb.org/t/p/original/arw2vcBveWOVZr6pxd9XTd1TdQa.jpg,23/06/1994,en
False,American Beauty,['Drama'],,122,"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.",https://image.tmdb.org/t/p/original/wby9315QzVKdW9BonAefg8jGTTb.jpg,15/09/1999,en
False,Citizen Kane,"['Mystery', 'Drama']",,119,"Newspaper magnate, Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event.",https://image.tmdb.org/t/p/original/sav0jxhqiH0bPr2vZFU0Kjt2nZL.jpg,17/04/1941,en
False,Dancer in the Dark,"['Drama', 'Crime']",,140,"Selma, a Czech immigrant on the verge of blindness, struggles to make ends meet for herself and her son, who has inherited the same genetic disorder and will suffer the same fate without an expensive operation. When life gets too difficult, Selma learns to cope through her love of musicals, escaping life's troubles - even if just for a moment - by dreaming up little numbers to the rhythmic beats of her surroundings.",https://image.tmdb.org/t/p/original/8Wdd3fQfbbQeoSfWpHrDfaFNhBU.jpg,30/06/2000,en
False,The Dark,"['Horror', 'Thriller', 'Mystery']",http://www.whatisannwyn.co.uk/,87,"In an attempt to pull her family together, Adèlle travels with her young daughter Sarah to Wales to visit her father. The morning after they arrive, Sarah mysteriously vanishes in the ocean. Not long after, a little girl bearing a striking resemblance to their missing daughter reveals that she has retuned from the dead  — and that Sarah has been taken to the Welsh underworld.",https://image.tmdb.org/t/p/original/wZeBHVnCvaS2bwkb8jFQ0PwZwXq.jpg,28/09/2005,en
False,The Fifth Element,"['Adventure', 'Fantasy', 'Action', 'Thriller', 'Science Fiction']",,126,"In 2257, a taxi driver is unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity.",https://image.tmdb.org/t/p/original/fPtlCO1yQtnoLHOwKtWz7db6RGU.jpg,02/05/1997,en
False,Metropolis,"['Drama', 'Science Fiction']",,149,"In a futuristic city sharply divided between the rich and the poor, the son of the city's mastermind meets a prophet who predicts the coming of a savior to mediate their differences.",https://image.tmdb.org/t/p/original/pxbGZewX327IbTvrCVRJgcLJTSQ.jpg,06/02/1927,de
False,My Life Without Me,"['Drama', 'Romance']",http://www.clubcultura.com/clubcine/clubcineastas/isabelcoixet/mividasinmi/index.htm,106,A fatally ill mother with only two months to live creates a list of things she wants to do before she dies without telling her family of her illness.,https://image.tmdb.org/t/p/original/sFSkn5rrQqXJkRNa2rMWqzmEuhR.jpg,07/03/2003,en
